City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,pandan,14.0453,124.1694,27.13,86,7,1.3,PH,1718055410
172,kununurra,-15.7667,128.7333,11.99,87,83,0.0,AU,1718055307
173,la ronge,55.1001,-105.2842,18.12,42,100,4.12,CA,1718055411
174,ust-nera,64.5667,143.2,14.74,35,82,1.21,RU,1718055411
175,anadyr,64.75,177.4833,8.28,65,75,1.0,RU,1718055411
176,uttar char fasson,22.2332,90.7132,29.05,86,100,5.62,BD,1718055411
177,labasa,-16.4167,179.3833,26.58,66,69,3.56,FJ,1718055411
178,ulsteinvik,62.3432,5.8487,11.53,90,100,5.36,NO,1718055412
179,murzuq,25.9155,13.9184,31.55,11,0,3.42,LY,1718055412
180,san luis de la loma,17.2706,-100.8939,29.58,64,100,5.76,MX,1718055412
181,ayancik,41.9447,34.5861,21.27,67,0,2.51,TR,1718055412
182,volksrust,-27.3654,29.8818,3.33,43,0,1.38,ZA,1718055412
183,nuuk,64.1835,-51.7216,10.34,93,75,3.6,GL,1718055305
184,hammerfest,70.6634,23.6821,10.25,76,0,5.14,NO,1718055413
185,brokopondo,4.75,-55.1667,28.53,72,88,1.47,SR,1718055413
186,arraial do cabo,-22.9661,-42.0278,22.92,100,0,1.03,BR,1718055413
187,markaz-e hukumat-e darweshan,31.1323,64.1934,28.32,10,0,1.97,AF,1718055413
188,port saint john's,-31.6229,29.5448,16.4,58,0,2.95,ZA,1718055414
189,rabinal,15.1,-90.45,29.19,88,71,1.28,GT,1718055414
190,christchurch,-43.5333,172.6333,7.73,78,100,5.66,NZ,1718055306
191,kone,-21.0595,164.8658,25.29,68,53,1.79,NC,1718055414
192,conception bay south,47.4999,-52.9981,15.58,98,100,5.51,CA,1718055414
193,ancud,-41.8697,-73.8203,11.2,92,98,6.28,CL,1718055210
194,ulaangom,49.9811,92.0667,16.0,63,96,0.45,MN,1718055415
195,pakala,13.4667,79.1167,25.95,64,64,3.54,IN,1718055415
196,constantia,44.1833,28.65,22.61,80,61,5.51,RO,1718055415
197,warren,39.4334,-84.1666,18.58,64,100,6.69,US,1718055218
198,pingnan,23.5543,110.3976,23.96,98,96,0.52,CN,1718055415
199,bikenibeu village,1.3673,173.1241,27.98,89,75,2.06,KI,1718055416
200,punta arenas,-53.15,-70.9167,2.06,93,75,2.06,CL,1718055416
201,dudinka,69.4058,86.1778,6.49,86,91,3.13,RU,1718055416
202,prince rupert,54.3161,-130.3201,12.05,77,100,12.86,CA,1718055416
203,sona,45.4388,10.8255,21.75,68,75,3.6,IT,1718055417
204,farasan,16.7022,42.1183,30.88,77,19,1.7,SA,1718055417
205,mitchell,43.7094,-98.0298,27.99,34,0,7.2,US,1718055329
206,hithadhoo,-0.6,73.0833,28.28,71,100,2.73,MV,1718055417
207,kapuskasing,49.4169,-82.4331,17.05,39,0,6.17,CA,1718055417
208,blacon,53.2083,-2.9253,12.34,77,40,6.69,GB,1718055140
209,touros,-5.1989,-35.4608,25.55,76,47,6.5,BR,1718055418
210,antanifotsy,-19.65,47.3167,10.78,95,100,1.76,MG,1718055418
211,qaqortoq,60.7167,-46.0333,8.7,76,100,5.16,GL,1718055418
212,kavieng,-2.5744,150.7967,28.3,80,100,4.46,PG,1718055418
213,san patricio,28.017,-97.5169,36.05,48,100,5.97,US,1718055419
214,castillos,-34.1667,-53.8333,11.41,96,51,2.05,UY,1718055419
215,nilsia,63.2,28.0833,11.92,92,46,2.64,FI,1718055419
216,tonawanda,42.985,-78.878,14.4,76,100,4.12,US,1718055298
217,mayya,61.7333,130.2811,11.62,60,17,1.85,RU,1718055419
218,bima,-8.4667,118.7167,22.15,97,13,1.68,ID,1718055420
219,cockburn town,21.4612,-71.1419,27.9,87,100,6.28,TC,1718055420
220,pangai,-19.8,-174.35,25.06,65,40,6.69,TO,1718055420
221,lata,40.1629,-8.3327,13.18,85,0,1.13,PT,1718055420
222,bubaque,11.2833,-15.8333,27.04,82,87,5.87,GW,1718055420
223,thompson,55.7435,-97.8558,20.09,40,75,4.12,CA,1718055420
224,brzeg dolny,51.273,16.7082,17.23,87,5,2.56,PL,1718055421
225,challapalle,16.1167,80.9333,29.41,66,97,5.31,IN,1718055421
226,truckee,39.328,-120.1833,30.2,32,20,2.06,US,1718055421
227,toliara,-23.35,43.6667,19.13,71,0,7.15,MG,1718055422
228,polyarnyy,69.1989,33.4478,9.78,89,100,1.38,RU,1718055422
229,woodward,36.4337,-99.3904,28.87,32,0,5.66,US,1718055325
230,lerwick,60.1545,-1.1494,9.0,81,59,8.83,GB,1718055422
231,zhezqazghan,47.7833,67.7667,19.59,62,15,3.22,KZ,1718055422
232,beitbridge,-22.2167,30.0,13.22,62,0,3.45,ZW,1718055423
233,new plymouth,-39.0667,174.0833,12.12,100,75,5.87,NZ,1718055423
234,camarinas,43.1311,-9.1817,14.96,75,41,8.52,ES,1718055423
235,port augusta,-32.5,137.7667,14.08,43,44,6.05,AU,1718055423
236,santa ines,-3.6667,-45.38,27.03,72,89,1.47,BR,1718055411
237,grand falls-windsor,48.9332,-55.6649,16.39,91,100,0.45,CA,1718055424
238,talnakh,69.4865,88.3972,6.23,87,33,3.97,RU,1718055424
239,kutahya,39.4242,29.9833,19.41,47,0,0.32,TR,1718055424
240,shache,38.4167,77.2406,22.36,33,41,2.11,CN,1718055424
241,alice springs,-23.7,133.8833,4.75,93,0,2.57,AU,1718055424
242,palu,-0.8917,119.8707,24.4,97,43,1.55,ID,1718055425
243,ixtapa,20.7,-105.2,27.57,74,75,6.17,MX,1718055425
244,jwaneng,-24.6004,24.7303,7.73,48,0,4.28,BW,1718055425
245,robore,-18.3333,-59.75,33.05,46,0,7.72,BO,1718055425
246,patterson,37.4716,-121.1297,34.3,17,0,3.4,US,1718055425
247,port shepstone,-30.7414,30.455,15.52,65,0,3.66,ZA,1718055426
248,hilo,19.7297,-155.09,31.27,76,75,3.6,US,1718055342
